i_event,id_x,id_y,id_z,v_x,v_y,v_z
129283,546.6842105263158,295.63157894736844,1,11.184210526315837,26.831578947368428,1
129320,562.75,318.6666666666667,1,-0.5357142857143344,-2.3333333333333144,1
129321,562.7272727272727,318.6363636363636,1,-0.6060606060606233,-2.363636363636374,1
129342,986.25,311.75,2,65.625,2.0,1
129344,832.0909090909091,428.3636363636364,0,72.77272727272728,33.84090909090909,1
129345,832.0909090909091,428.3636363636364,0,72.77272727272728,33.84090909090909,1
129382,535.5,268.8,0,-1.375,-6.049999999999997,1
129383,535.5,268.8,0,-1.375,-6.049999999999997,1
129405,595.0,404.0,2,0.125,14.875,1
129406,595.0,403.8,2,0.20000000000004547,14.300000000000011,1
129420,563.2857142857143,321.0,0,5.571428571428584,7.0,1
129421,563.3333333333334,321.0,0,5.583333333333343,7.0,1
129430,10.166666666666666,310.1666666666667,0,-132.70833333333334,4.291666666666671,1
129442,920.625,309.75,1,63.125,-0.25,1
129497,569.3846153846154,328.38461538461536,2,2.3846153846153584,0.3846153846153584,1
129505,594.875,389.125,1,1.1607142857143344,13.125,1
129506,594.8,389.5,1,1.2999999999999545,14.0,1
129534,598.5555555555555,172.44444444444446,2,-45.23391812865498,23.076023391812868,1
129535,667.0,135.0,2,24.0,-14.166666666666657,1
129537,524.3846153846154,275.61538461538464,2,2.184615384615313,-1.8846153846153584,1
129542,857.5,310.0,0,79.125,4.25,1
129597,567.0,328.0,1,1.6153846153846416,-0.3846153846153584,1
129600,38.5,145.5,1,-64.88461538461539,-21.884615384615387,1
129605,593.7142857142857,376.0,0,13.178571428571416,20.75,1
129606,593.5,375.5,0,13.125,20.625,1
129614,1.0,502.25,2,-60.5,66.75,1
129615,1.0,502.25,2,-60.5,66.75,1
129620,588.8888888888889,385.3333333333333,2,2.888888888888914,8.333333333333314,1
129621,588.8888888888889,385.3333333333333,2,2.888888888888914,8.333333333333314,1
129629,75.83333333333333,188.83333333333334,0,-116.29166666666667,-26.041666666666664,1
129630,75.83333333333333,188.83333333333334,0,-116.29166666666667,-26.041666666666664,1
129634,643.7894736842105,149.3684210526316,1,20.78947368421052,-16.63157894736841,1
129635,643.0,149.16666666666666,1,25.5,-35.958333333333336,1
129637,522.2,277.5,1,2.2000000000000455,-1.3000000000000114,1
129694,726.5882352941177,491.88235294117646,0,46.39705882352942,49.720588235294116,1
129695,726.6153846153846,492.0,0,46.40384615384616,49.75,1
129697,565.3846153846154,328.38461538461536,0,6.09615384615384,8.84615384615384,1
129700,103.38461538461539,167.3846153846154,0,-109.40384615384616,-31.403846153846153,1
129714,61.5,435.5,1,-60.5,72.5,1
129715,61.5,435.5,1,-60.5,72.5,1
129720,586.0,377.0,1,3.0,8.0,1
129721,586.0,377.0,1,3.0,8.199999999999989,1
129734,623.0,166.0,0,20.5,-31.75,1
129737,520.0,278.8,0,-5.25,-3.549999999999997,1
129738,540.5,348.5,2,7.0,1.0,1
129739,540.5,348.5,2,7.045454545454504,1.045454545454561,1
129745,572.0,333.0,2,2.7000000000000455,4.699999999999989,1
129746,572.0,333.0,2,2.7000000000000455,4.699999999999989,1
